Fecha,Total de operaciones enviadas
24/07/2023,9958
25/07/2023,10161
26/07/2023,10411
27/07/2023,11376
28/07/2023,16174
29/07/2023,7927
30/07/2023,5094
31/07/2023,12560
01/08/2023,11837
02/08/2023,11638
03/08/2023,13509
04/08/2023,16148
05/08/2023,8062
06/08/2023,5353
07/08/2023,11787
08/08/2023,11278
09/08/2023,11724
10/08/2023,12966
11/08/2023,14833
12/08/2023,7129
13/08/2023,4670
14/08/2023,12174
15/08/2023,13478
16/08/2023,12589
17/08/2023,13343
18/08/2023,15665
19/08/2023,7301
20/08/2023,4869
21/08/2023,11219
22/08/2023,11274
23/08/2023,10747
24/08/2023,12025
25/08/2023,14681
26/08/2023,7492
27/08/2023,5003
28/08/2023,11191
29/08/2023,12545
30/08/2023,13401
31/08/2023,14485
01/09/2023,17294
02/09/2023,9170
03/09/2023,6501
04/09/2023,12988
05/09/2023,12103
06/09/2023,11785
07/09/2023,13560
08/09/2023,16393
09/09/2023,7747
10/09/2023,4849
11/09/2023,10881
12/09/2023,11245
13/09/2023,11543
14/09/2023,14633
15/09/2023,17096
16/09/2023,7636
17/09/2023,6074
18/09/2023,12742
19/09/2023,11154
20/09/2023,12076
21/09/2023,13066
22/09/2023,15614
23/09/2023,8375
24/09/2023,5611
25/09/2023,11512
26/09/2023,11195
27/09/2023,11403
28/09/2023,13570
29/09/2023,18523
30/09/2023,10248
01/10/2023,6847
02/10/2023,13173
03/10/2023,12380
04/10/2023,12376
05/10/2023,13734
06/10/2023,16562
07/10/2023,8267
08/10/2023,5326
09/10/2023,12051
10/10/2023,11494
11/10/2023,11485
12/10/2023,12446
13/10/2023,17687
14/10/2023,9359
15/10/2023,6437
16/10/2023,13068
17/10/2023,11330
18/10/2023,11802
19/10/2023,12974
20/10/2023,15775
21/10/2023,8120
22/10/2023,5777
23/10/2023,11684
24/10/2023,10978
25/10/2023,10566
26/10/2023,12165
27/10/2023,15865
28/10/2023,8653
29/10/2023,5643
30/10/2023,12973
31/10/2023,13131
01/11/2023,13478
02/11/2023,10039
03/11/2023,16163
04/11/2023,9138
05/11/2023,6525
06/11/2023,13147
07/11/2023,11444
08/11/2023,12085
09/11/2023,13165
10/11/2023,16130
11/11/2023,8312
12/11/2023,5655
13/11/2023,11922
14/11/2023,13075
15/11/2023,14570
16/11/2023,14633
17/11/2023,16596
18/11/2023,8461
19/11/2023,5491
20/11/2023,7618
21/11/2023,11975
22/11/2023,11430
23/11/2023,12973
24/11/2023,15797
25/11/2023,8190
26/11/2023,5616
27/11/2023,11134
28/11/2023,11550
29/11/2023,13540
30/11/2023,17215
01/12/2023,19028
02/12/2023,9901
03/12/2023,6405
04/12/2023,14194
05/12/2023,14742
06/12/2023,14514
07/12/2023,14472
08/12/2023,18569
09/12/2023,9582
10/12/2023,6588
11/12/2023,13148
12/12/2023,9997
13/12/2023,13847
14/12/2023,15735
15/12/2023,18416
16/12/2023,11660
17/12/2023,6833
18/12/2023,13967
19/12/2023,13259
20/12/2023,13146
21/12/2023,14045
22/12/2023,16370
23/12/2023,9083
24/12/2023,5473
25/12/2023,4084
26/12/2023,11787
27/12/2023,10888
28/12/2023,12131
29/12/2023,17015
30/12/2023,10293
31/12/2023,6272
01/01/2024,4756
02/01/2024,13153
03/01/2024,12952
04/01/2024,13683
05/01/2024,16811
06/01/2024,8469
07/01/2024,5902
08/01/2024,12981
09/01/2024,12355
10/01/2024,13212
11/01/2024,14131
12/01/2024,18320
13/01/2024,10908
14/01/2024,7842
15/01/2024,16106
16/01/2024,13951
17/01/2024,13215
18/01/2024,14005
19/01/2024,16731
20/01/2024,9286
21/01/2024,6336
22/01/2024,12418
23/01/2024,11708
24/01/2024,12127
25/01/2024,13230
26/01/2024,16474
27/01/2024,8887
28/01/2024,6191
29/01/2024,13429
30/01/2024,14592
31/01/2024,16341
01/02/2024,16196
02/02/2024,17841
03/02/2024,10013
04/02/2024,6792
05/02/2024,9254
06/02/2024,14749
07/02/2024,13391
08/02/2024,14688
09/02/2024,17637
10/02/2024,9422
11/02/2024,6133
12/02/2024,12756
13/02/2024,12501
14/02/2024,13347
15/02/2024,16503
16/02/2024,18906
17/02/2024,9584
18/02/2024,6120
19/02/2024,13547
20/02/2024,12716
21/02/2024,12612
22/02/2024,13811
23/02/2024,16883
24/02/2024,7343
25/02/2024,5998
26/02/2024,12714
