FOLIO,FECHA,ANIO,MES,K_GRUPO,GRUPO,K_EMPRESA,EMPRESA,CONCESIONARIO,L_PREPAGO_E,L_POSPAGO_E,L_POSPAGOC_E,L_POSPAGOL_E,L_NO_ESPECIFICADO_E,L_TOTAL_E
107353,15AUG2017,2017,08,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","163,339",,,,,"163,339"
107353,15SEP2017,2017,09,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","172,767",,,,,"172,767"
107353,15OCT2017,2017,10,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","178,303",,,,,"178,303"
107353,15NOV2017,2017,11,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","139,649",,,,,"139,649"
107353,15DEC2017,2017,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","136,147",,,,,"136,147"
107353,15JAN2018,2018,01,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","151,935",,,,,"151,935"
107353,15FEB2018,2018,02,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","162,699",,,,,"162,699"
107353,15MAR2018,2018,03,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","168,019",,,,,"168,019"
107353,15APR2018,2018,04,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","178,337",,,,,"178,337"
107353,15MAY2018,2018,05,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","177,760",,,,,"177,760"
107353,15JUN2018,2018,06,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","171,678",,,,,"171,678"
107353,15JUL2018,2018,07,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","166,124",,,,,"166,124"
107353,15AUG2018,2018,08,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","166,021",,,,,"166,021"
107353,15SEP2018,2018,09,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","173,080",,,,,"173,080"
107353,15OCT2018,2018,10,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","152,818",,,,,"152,818"
107353,15NOV2018,2018,11,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","149,968",,,,,"149,968"
107353,15DEC2018,2018,12,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","149,368",,,,,"149,368"
107353,15JAN2019,2019,01,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","136,811",,,,,"136,811"
107353,15FEB2019,2019,02,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","132,639",,,,,"132,639"
107353,15MAR2019,2019,03,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","124,100",,,,,"124,100"
107353,15APR2019,2019,04,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","123,455",,,,,"123,455"
107353,15MAY2019,2019,05,C704,FLASH MOBILE,C0704,FLASH MOBILE,"LOGISTICA ACN MEXICO, S. DE R.L. DE C.V.","122,465",,,,,"122,465"
